;Ano;3.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;6;6;11;6;2;4;3;1;1;0;0;40
Ágata;;11;13;22;18;23;14;17;8;10;7;5;148
Ametista;;2;3;9;16;26;42;66;43;25;36;65;333
Topázio;;0;0;0;0;0;2;7;7;14;20;41;91
Quartzo;2021;16;13;2;2;3;0;0;0;0;0;0;36
Ágata;;21;21;36;27;18;20;6;2;0;0;0;151
Ametista;;5;8;21;37;48;63;53;39;13;4;0;291
Topázio;;0;0;0;3;6;11;35;16;16;12;1;100
Quartzo;2022;16;22;11;10;7;0;0;0;0;0;0;66
Ágata;;18;26;48;44;39;35;15;8;0;3;0;236
Ametista;;4;4;7;30;42;58;92;51;34;23;3;348
Topázio;;0;0;0;1;0;8;20;34;28;27;12;130
Total;;99;116;167;194;214;257;314;209;141;132;127;
