2020;2021;2022;Total;2020-->2021;2021-->2022
Ametista;Ametista;Ametista;41;Estável;Estável
Ametista;Ametista;Ágata;35;Estável;Queda
Topázio;Topázio;Topázio;20;Estável;Estável
Topázio;Ametista;Ametista;20;Queda;Estável
Ametista;Ágata;Ágata;19;Queda;Estável
Ametista;Ágata;Ametista;18;Queda;Ascensão
Ametista;Topázio;Topázio;15;Ascensão;Estável
Ágata;Ágata;Ágata;12;Estável;Estável
Quartzo;Quartzo;Quartzo;11;Estável;Estável
Ametista;Ametista;Quartzo;11;Estável;Queda
Ametista;Ametista;Topázio;9;Estável;Ascensão
Ametista;Topázio;Ametista;9;Ascensão;Queda
Ágata;Ágata;Quartzo;8;Estável;Queda
Ágata;Quartzo;Quartzo;8;Queda;Estável
Ametista;Ágata;Quartzo;7;Queda;Queda
Topázio;Topázio;Ametista;6;Estável;Queda
Quartzo;Quartzo;Ágata;6;Estável;Ascensão
Topázio;Ametista;Topázio;6;Queda;Ascensão
Topázio;Ametista;Ágata;6;Queda;Queda
Quartzo;Ágata;Quartzo;5;Ascensão;Queda
Ametista;Quartzo;Ágata;5;Queda;Ascensão
Ágata;Ametista;Ágata;5;Ascensão;Queda
Ágata;Ágata;Ametista;4;Estável;Ascensão
Ágata;Ametista;Ametista;4;Ascensão;Estável
Ametista;Quartzo;Quartzo;4;Queda;Estável
Ágata;Quartzo;Ágata;4;Queda;Ascensão
Ágata;Ametista;Quartzo;4;Ascensão;Queda
Ágata;Quartzo;Ametista;2;Queda;Ascensão
Topázio;Ágata;Quartzo;2;Queda;Queda
Topázio;Ágata;Ágata;1;Queda;Estável
Ametista;Topázio;Ágata;1;Ascensão;Queda
Topázio;Topázio;Ágata;1;Estável;Queda
Ágata;Topázio;Ametista;1;Ascensão;Queda
Quartzo;Ágata;Ágata;1;Ascensão;Estável
Quartzo;Ágata;Ametista;1;Ascensão;Ascensão
Ágata;Ametista;Topázio;1;Ascensão;Ascensão
Ágata;Quartzo;Topázio;1;Queda;Ascensão
