IPP 2020;IPP 2021;IPP 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
8.958;8.6;6.042;Queda;Queda;-0.358;-2.558;-2.916
8.75;8.6;6.458;Queda;Queda;-0.15;-2.142;-2.292
7.5;8.1;5.417;Ascensão;Queda;0.6;-2.683;-2.083
8.125;8.3;6.042;Ascensão;Queda;0.175;-2.258;-2.083
8.438;8.5;6.458;Ascensão;Queda;0.062;-2.042;-1.98
7.188;7.7;5.312;Ascensão;Queda;0.512;-2.388;-1.876
8.438;7.5;6.667;Queda;Queda;-0.938;-0.833;-1.771
8.542;7.5;6.875;Queda;Queda;-1.042;-0.625;-1.667
7.292;8.1;5.625;Ascensão;Queda;0.808;-2.475;-1.667
7.708;8.5;6.042;Ascensão;Queda;0.792;-2.458;-1.666
8.958;8.3;7.344;Queda;Queda;-0.658;-0.956;-1.614
7.917;7.9;6.458;Queda;Queda;-0.017;-1.442;-1.459
7.708;7.3;6.25;Queda;Queda;-0.408;-1.05;-1.458
9.167;8.3;7.812;Queda;Queda;-0.867;-0.488;-1.355
7.188;8.1;5.833;Ascensão;Queda;0.912;-2.267;-1.355
7.5;8.5;6.25;Ascensão;Queda;1;-2.25;-1.25
9.062;7.8;7.812;Queda;Ascensão;-1.262;0.012;-1.25
8.438;7.5;7.344;Queda;Queda;-0.938;-0.156;-1.094
7.292;8.1;6.25;Ascensão;Queda;0.808;-1.85;-1.042
7.188;7.5;6.25;Ascensão;Queda;0.312;-1.25;-0.938
8.542;8.1;7.656;Queda;Queda;-0.442;-0.444;-0.886
7.292;8.1;6.458;Ascensão;Queda;0.808;-1.642;-0.834
7.083;8.1;6.25;Ascensão;Queda;1.017;-1.85;-0.833
8.125;7.7;7.5;Queda;Queda;-0.425;-0.2;-0.625
9.375;9.2;8.906;Queda;Queda;-0.175;-0.294;-0.469
7.969;8.1;7.656;Ascensão;Queda;0.131;-0.444;-0.313
7.917;7.9;7.969;Queda;Ascensão;-0.017;0.069;0.052
8.125;7.8;8.281;Queda;Ascensão;-0.325;0.481;0.156
7.292;8.1;7.5;Ascensão;Queda;0.808;-0.6;0.208
7.708;8.5;8.281;Ascensão;Queda;0.792;-0.219;0.573
7.083;7.9;7.969;Ascensão;Ascensão;0.817;0.069;0.886
5;7.5;6.458;Ascensão;Queda;2.5;-1.042;1.458
5.938;8.5;7.5;Ascensão;Queda;2.562;-1;1.562
6.25;7.9;8.125;Ascensão;Ascensão;1.65;0.225;1.875
2.5;7.8;5.312;Ascensão;Queda;5.3;-2.488;2.812
5;7.9;7.812;Ascensão;Queda;2.9;-0.088;2.812
2.5;5.3;5.625;Ascensão;Ascensão;2.8;0.325;3.125
2.5;7.9;5.833;Ascensão;Queda;5.4;-2.067;3.333
2.5;8.1;5.833;Ascensão;Queda;5.6;-2.267;3.333
2.5;8.1;6.042;Ascensão;Queda;5.6;-2.058;3.542
5;7.5;8.75;Ascensão;Ascensão;2.5;1.25;3.75
;;;;;;;
;;Queda;15;34;;;
;;Ascensão;26;7;;;
