IPP   2020;IPP    2021;IPP    2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
8.75;7.7;5;Queda;Queda;-1.05;-2.7;-3.75
7.812;7.5;5.625;Queda;Queda;-0.312;-1.875;-2.187
7.812;8.3;5.625;Ascensão;Queda;0.488;-2.675;-2.187
8.542;7.5;6.406;Queda;Queda;-1.042;-1.094;-2.136
7.917;7.9;5.833;Queda;Queda;-0.017;-2.067;-2.084
6.875;7.9;5;Ascensão;Queda;1.025;-2.9;-1.875
8.542;7.5;6.719;Queda;Queda;-1.042;-0.781;-1.823
8.75;8.1;7.031;Queda;Queda;-0.65;-1.069;-1.719
7.5;7.3;6.25;Queda;Queda;-0.2;-1.05;-1.25
7.188;7.5;6.042;Ascensão;Queda;0.312;-1.458;-1.146
7.292;7.1;6.25;Queda;Queda;-0.192;-0.85;-1.042
7.5;7.5;6.458;Estável;Queda;0;-1.042;-1.042
7.083;8.5;6.042;Ascensão;Queda;1.417;-2.458;-1.041
8.125;7.7;7.188;Queda;Queda;-0.425;-0.512;-0.937
8.125;7.7;7.188;Queda;Queda;-0.425;-0.512;-0.937
8.542;7.5;7.656;Queda;Ascensão;-1.042;0.156;-0.886
8.958;8;8.125;Queda;Ascensão;-0.958;0.125;-0.833
8.75;8.1;7.969;Queda;Queda;-0.65;-0.131;-0.781
8.438;7.5;7.812;Queda;Ascensão;-0.938;0.312;-0.626
7.5;7.3;6.875;Queda;Queda;-0.2;-0.425;-0.625
8.906;8.6;8.281;Queda;Queda;-0.306;-0.319;-0.625
7.083;6.9;6.458;Queda;Queda;-0.183;-0.442;-0.625
8.542;8.1;7.969;Queda;Queda;-0.442;-0.131;-0.573
7.917;7.5;7.5;Queda;Estável;-0.417;0;-0.417
6.562;7.7;6.25;Ascensão;Queda;1.138;-1.45;-0.312
7.708;7.3;7.5;Queda;Ascensão;-0.408;0.2;-0.208
8.333;8;8.281;Queda;Ascensão;-0.333;0.281;-0.052
7.656;7.3;7.656;Queda;Ascensão;-0.356;0.356;0
7.917;7.5;8.125;Queda;Ascensão;-0.417;0.625;0.208
6.875;8.1;7.344;Ascensão;Queda;1.225;-0.756;0.469
7.5;7.7;8.281;Ascensão;Ascensão;0.2;0.581;0.781
6.458;7.5;7.344;Ascensão;Queda;1.042;-0.156;0.886
5;8.1;7.344;Ascensão;Queda;3.1;-0.756;2.344
5.312;7.5;8.75;Ascensão;Ascensão;2.188;1.25;3.438
2.5;7.7;6.042;Ascensão;Queda;5.2;-1.658;3.542
;;Queda;23;25;;;
;;Ascensão;11;9;;;
